feature,importance_mean,importance_std,importance_mean_clip,cumulative_importance_share,feature_origin
proto_i,0.32253539558825906,0.002824230663554793,0.32253539558825906,0.5844215107889897,zeek/core
resp_bytes,0.11036163689467657,0.003306629421527319,0.11036163689467657,0.7843924766096497,zeek/core
resp_pkts,0.04611340788433307,0.0016129212106627407,0.04611340788433307,0.8679481665339708,zeek/core
duration,0.04415531458262743,0.0016061201890821015,0.04415531458262743,0.9479558680474031,zeek/core
orig_pkts,0.015195752852140565,0.0005094779804662784,0.015195752852140565,0.9754899773603575,zeek/core
orig_bytes,0.013526794791112028,0.0006570665395079639,0.013526794791112028,1.0000000000000002,zeek/core
dst_port,0.0,0.0,0.0,1.0000000000000002,zeek/core
src_port,0.0,0.0,0.0,1.0000000000000002,zeek/core
orig_p,-0.0013833244582142524,0.0015135345910178256,0.0,1.0000000000000002,zeek/core
resp_p,-0.006748253215213507,0.0013366681439605504,0.0,1.0000000000000002,zeek/core
