feature,importance_mean,importance_std,importance_mean_clip,cumulative_importance_share,feature_origin
proto_i,0.3095780768423939,0.003420424391479776,0.3095780768423939,0.5523532879737251,zeek/core
resp_bytes,0.12085990221232504,0.0019145402919768344,0.12085990221232504,0.76799311961835,zeek/core
duration,0.05510124090300297,0.001657394882040945,0.05510124090300297,0.8663054804115874,zeek/core
resp_pkts,0.05441206370721783,0.0010905921444032678,0.05441206370721783,0.9633882021619987,zeek/core
orig_pkts,0.011767213696729062,0.0007065494520877812,0.011767213696729062,0.984383420046845,zeek/core
orig_bytes,0.008752642364977104,0.0003987725510758249,0.008752642364977104,1.0,zeek/core
dst_port,0.0,0.0,0.0,1.0,zeek/core
src_port,0.0,0.0,0.0,1.0,zeek/core
orig_p,-0.0021922673508576905,0.0009440044226908761,0.0,1.0,zeek/core
resp_p,-0.007242419841538794,0.0032594642204110775,0.0,1.0,zeek/core
